رمز المساق,رقم المساق,الشعبة,اسم المساق,الساعات,سعة القاعة,سبت,حد,ثن,ثل,ربع,خمس,جمع,وقت البداية,وقت النهاية,الحد الاقصى,الشعبة ملغاة,رمز القاعة,عدد المسجلين,المحاضر,طريقة  تدريس المساق
CS,376,2,الذكاء الاصطناعي,3,72,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,58,لا,خز 324,58,معاويه الشناق,وجاهي
CS,411,1,برمجة تطبيقات الهواتف الذكية,3,38,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,43,لا,خز 107,43,نواف السريحين,مدمج
CS,432,1,معمارية الحاسوب,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,56,لا,0 Oline,50,طارق غالب درادكه,إلكتروني
CS,492,1,موضوعات خاصة,3,55,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,37,لا,خز 313,37,فيصل الخطيب,وجاهي
CS,499A,1,مشـــروع تخرج,0,55,  ,X,  ,X,  ,X,  ,02:30:00 PM,03:30:00 PM,14,لا,خز 313,13,بلال عبدالغني,مدمج
CS,499A,2,مشـــروع تخرج,0,55,  ,X,  ,X,  ,X,  ,03:30:00 PM,04:30:00 PM,14,لا,خز 313,10,بلال عبدالغني,مدمج
CS,499B,1,مشـــروع تخرج,3,99,  ,X,  ,X,  ,X,  ,03:30:00 PM,04:30:00 PM,25,لا,خز 416,24,رأفت الشرمان,مدمج
CS,499B,3,مشـــروع تخرج,3,99,  ,X,  ,X,  ,X,  ,03:30:00 PM,04:30:00 PM,23,لا,خز 316,23,معاويه الشناق,مدمج
CS,499B,4,مشـــروع تخرج,3,38,X,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,22,لا,خز 107,22,اسلام المغايره,مدمج
CYS,230,1,مبادئ الأمن السيبراني,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,85,لا,0 Oline,80,عدنان الرواشده,إلكتروني
CYS,230,2,مبادئ الأمن السيبراني,3,300,  ,X,  ,X,  ,X,  ,05:30:00 PM,06:30:00 PM,87,لا,0 Oline,86,قصي موفق الزعبي,إلكتروني
CYS,230,3,مبادئ الأمن السيبراني,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,78,لا,0 Oline,77,هديل هاني العزام,إلكتروني
CYS,230,4,مبادئ الأمن السيبراني,3,300,X,  ,X,  ,X,  ,  ,06:30:00 PM,07:30:00 PM,88,لا,0 Oline,88,محمد رسول جعافرة,إلكتروني
CYS,232,1,مقدمة في علم التشفير,3,40,  ,X,  ,X,  ,X,  ,02:30:00 PM,03:30:00 PM,38,لا,خز 111,37,مالك برهوش,وجاهي
CYS,232,2,مقدمة في علم التشفير,3,40,  ,  ,X,  ,X,  ,  ,02:00:00 PM,03:30:00 PM,25,لا,خز 111,15,مالك برهوش,وجاهي
CYS,321,1,نظم تشغيل الشبكات,3,30,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,30,لا,خز 226,30,هديل هاني العزام,مدمج
CYS,321,2,نظم تشغيل الشبكات,3,31,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,31,لا,خز 105,31,هديل هاني العزام,مدمج
CYS,331,1,إدارة  وتقييم المخاطر,3,40,X,  ,X,  ,X,  ,  ,11:30:00 AM,12:30:00 PM,33,لا,خز 111,33,هديل هاني العزام,مدمج
CYS,332,1,أمن  البرمجيات,3,44,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,44,لا,خز 116,44,شذى نبيل شخاتره,وجاهي
CYS,333,1,الإختراق الأخلاقي,3,41,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,43,لا,خز 222,43,محمد رسول جعافرة,وجاهي
CYS,333L,1,مختبر  الإختراق الأخلاقي,2,41,  ,X,  ,X,  ,  ,  ,10:30:00 AM,12:30:00 PM,40,لا,خز 222,39,محمد رسول جعافرة,وجاهي
CYS,334,1,أمن الشبكات,3,40,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,40,لا,خز 111,39,شذى نبيل شخاتره,وجاهي
CYS,334,2,أمن الشبكات,3,40,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,33,لا,خز 111,33,قصي موفق الزعبي,وجاهي
CYS,334,3,أمن الشبكات,3,35,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,30,لا,خز 215,27,قصي موفق الزعبي,وجاهي
CYS,370,1,برمجة ومراقبة الشبكات,3,31,  ,X,  ,X,  ,X,  ,08:30:00 AM,09:30:00 AM,31,لا,خز 105,31,سامي محمود الصمادي,وجاهي
CYS,370,2,برمجة ومراقبة الشبكات,3,31,  ,X,  ,X,  ,X,  ,02:30:00 PM,03:30:00 PM,30,لا,خز 105,22,سامي محمود الصمادي,وجاهي
