رمز المساق,رقم المساق,الشعبة,اسم المساق,الساعات,سعة القاعة,سبت,حد,ثن,ثل,ربع,خمس,جمع,وقت البداية,وقت النهاية,الحد الاقصى,الشعبة ملغاة,رمز القاعة,عدد المسجلين,المحاضر,طريقة  تدريس المساق
CIS,382,1,الحوسبة السحابية,3,39,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,38,لا,م.ق 103,38,عماد شواقفه,مدمج
CIS,440,1,إختبار البرمجيات والتحقق منها,3,55,X,  ,X,  ,X,  ,  ,09:30:00 AM,10:30:00 AM,50,لا,م.ق 204,49,اياد العزام,مدمج
CIS,464,1,نظم استرجاع المعلومات,3,72,  ,X,  ,X,  ,X,  ,02:30:00 PM,03:30:00 PM,74,لا,خز 422,74,عماد السخني,وجاهي
CIS,467A,1,تنقيب البيانات,3,99,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,42,لا,خز 417,40,محمداشرف علي العتوم,وجاهي
CIS,467A,2,تنقيب البيانات,3,99,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,41,لا,خز 417,38,محمداشرف علي العتوم,وجاهي
CIS,467L,1,مختبر تنقيب واسترجاع المعلومات,1,44,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,42,لا,خز 217,41,سحر العمري,وجاهي
CIS,468,1,ادارة البيانات الضخمة,3,57,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,55,لا,م.ق 205,53,ابرار عبدالحق,وجاهي
CIS,492,1,موضوعات خاصة,3,72,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,55,لا,خز 424,37,رامي عيسى محمد مهاوش,وجاهي
CIS,499,1,مشروع تخرج,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,13,لا,0 Oline,11,عماد شواقفه,إلكتروني
CIS,499,2,مشروع تخرج,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,19,لا,0 Oline,19,احمد علي سعيفان,إلكتروني
CIS,499,3,مشروع تخرج,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,16,لا,0 Oline,16,عبدالله الاخرس,إلكتروني
CIS,499,4,مشروع تخرج,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,13,لا,0 Oline,12,رامي ضرار ملكاوي,إلكتروني
CIS,499,5,مشروع تخرج,3,300,X,  ,X,  ,X,  ,  ,05:30:00 PM,06:30:00 PM,14,لا,0 Oline,4,قاسم الردايده,إلكتروني
COMP,099,1,مهارات حاسوب - إستدراكي,3,52,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,52,لا,خز 212,52,منى الشريده,مدمج
COMP,099,2,مهارات حاسوب - إستدراكي,3,51,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,53,لا,خز 112,53,منى الشريده,مدمج
COMP,099,3,مهارات حاسوب - إستدراكي,3,51,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,54,لا,خز 112,54,اسماء القضاه,مدمج
COMP,099,4,مهارات حاسوب - إستدراكي,3,51,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,54,لا,خز 112,54,اسماء القضاه,مدمج
COMP,099,5,مهارات حاسوب - إستدراكي,3,51,  ,X,  ,X,  ,X,  ,01:30:00 PM,02:30:00 PM,55,لا,خز 112,55,يوسف مياس,مدمج
COMP,099,6,مهارات حاسوب - إستدراكي,3,44,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,47,لا,خز 116,47,نداء المومني,مدمج
COMP,099,7,مهارات حاسوب - إستدراكي,3,52,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,52,لا,خز 212,52,يوسف مياس,مدمج
COMP,099,8,مهارات حاسوب - إستدراكي,3,44,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,47,لا,خز 216,47,ربى علاونه,مدمج
COMP,099,9,مهارات حاسوب - إستدراكي,3,44,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,50,لا,خز 216,50,محمد عطير,مدمج
COMP,099,10,مهارات حاسوب - إستدراكي,3,44,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,46,لا,خز 217,46,زينات حمدان,مدمج
COMP,099,11,مهارات حاسوب - إستدراكي,3,51,X,  ,X,  ,X,  ,  ,09:30:00 AM,10:30:00 AM,52,لا,خز 112,52,دارين بطاينه,مدمج
COMP,099,12,مهارات حاسوب - إستدراكي,3,51,X,  ,X,  ,X,  ,  ,10:30:00 AM,11:30:00 AM,53,لا,خز 112,53,ساره السعيد,مدمج
COMP,099,13,مهارات حاسوب - إستدراكي,3,51,X,  ,X,  ,X,  ,  ,11:30:00 AM,12:30:00 PM,52,لا,خز 112,52,احمد السعيد,مدمج
COMP,099,14,مهارات حاسوب - إستدراكي,3,51,X,  ,X,  ,X,  ,  ,12:30:00 PM,01:30:00 PM,54,لا,خز 112,54,احمد السعيد,مدمج
COMP,099,15,مهارات حاسوب - إستدراكي,3,44,X,  ,X,  ,X,  ,  ,09:30:00 AM,10:30:00 AM,45,لا,خز 116,45,ساره السعيد,مدمج
COMP,099,16,مهارات حاسوب - إستدراكي,3,31,X,  ,X,  ,X,  ,  ,10:30:00 AM,11:30:00 AM,33,لا,خز 105,33,عبدالله الرشدان,مدمج
CS,111,1,البرمجة بلغة مختارة ( لطلبة كلية تكنولوجيا المعلومات),3,51,  ,X,  ,X,  ,X,  ,08:30:00 AM,09:30:00 AM,42,لا,خز 112,42,باسمه هاني,وجاهي
CS,111,2,البرمجة بلغة مختارة ( لطلبة كلية تكنولوجيا المعلومات),3,52,  ,X,  ,X,  ,X,  ,08:30:00 AM,09:30:00 AM,36,لا,خز 421,36,غير محدد,وجاهي
CS,111,6,البرمجة بلغة مختارة ( لطلبة كلية تكنولوجيا المعلومات),3,52,  ,X,  ,X,  ,X,  ,11:30:00 AM,12:30:00 PM,53,لا,خز 212,53,رعد الخطيب,وجاهي
CS,111,7,البرمجة بلغة مختارة ( لطلبة كلية تكنولوجيا المعلومات),3,52,  ,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,52,لا,خز 212,52,باسمه هاني,وجاهي
CS,111L,1,مختبر البرمجة بلغة مختارة,1,51,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,51,لا,خز 112,51,طارق غالب درادكه,وجاهي
CS,111L,2,مختبر البرمجة بلغة مختارة,1,40,  ,X,  ,X,  ,X,  ,09:30:00 AM,10:30:00 AM,36,لا,خز 109,36,امل ابو ناصر,وجاهي
CS,111L,3,مختبر البرمجة بلغة مختارة,1,49,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,49,لا,خز 117,49,امل ابو ناصر,وجاهي
CS,111L,4,مختبر البرمجة بلغة مختارة,1,52,  ,  ,X,  ,X,  ,  ,08:30:00 AM,10:00:00 AM,50,لا,خز 212,43,ربى ابو خرمه,وجاهي
CS,111L,5,مختبر البرمجة بلغة مختارة,1,52,  ,X,  ,X,  ,X,  ,12:30:00 PM,01:30:00 PM,55,لا,خز 212,55,باسمه هاني,وجاهي
CS,130,1,أساسيات نظم التشغيل,3,72,  ,X,  ,X,  ,X,  ,08:30:00 AM,09:30:00 AM,66,لا,خز 324,66,معاويه الشناق,وجاهي
CS,130,2,أساسيات نظم التشغيل,3,72,  ,  ,X,  ,X,  ,  ,12:30:00 PM,02:00:00 PM,57,لا,خز 424,47,نهله شطناوي,وجاهي
CS,142,1,هياكل متقطعه,3,72,  ,X,  ,X,  ,X,  ,08:30:00 AM,09:30:00 AM,72,لا,خز 424,72,رأفت الشرمان,وجاهي
CS,142,2,هياكل متقطعه,3,72,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,73,لا,خز 424,73,رأفت الشرمان,وجاهي
CS,142,3,هياكل متقطعه,3,99,  ,X,  ,X,  ,X,  ,10:30:00 AM,11:30:00 AM,87,لا,خز 416,87,هشام احمد شحاده,وجاهي
CS,142,4,هياكل متقطعه,3,72,  ,  ,X,  ,X,  ,  ,02:00:00 PM,03:30:00 PM,71,لا,خز 424,48,صبا شاهر,وجاهي
